ID,GamePSID,ReleaseYear,Size,is_Digital_game,is_Physical_game
8179,8452,2019.0,203.0,0,0
8180,8451,2019.0,173.0,0,0
8181,8675,2019.0,203.0,0,0
8182,3472,2015.0,265.0,0,0
8183,5187,2017.0,254.0,0,0
8184,3647,2015.0,3553.28,0,0
8185,13882,2021.0,0.0,0,0
8186,2189,2014.0,524.0,0,0
8187,7445,2018.0,300.0,0,0
8188,-4389,0.0,0.0,0,0
8189,3280,2015.0,236.0,0,0
8190,12774,2021.0,0.0,0,0
8191,12775,2021.0,0.0,0,0
8192,5413,2017.0,3297.28,0,0
8193,5875,2017.0,3993.6,0,0
8194,12002,2021.0,10434.56,0,0
8195,-2720,0.0,0.0,0,0
8196,11535,2021.0,162.0,0,0
8197,11534,2021.0,162.0,0,0
8198,12994,2021.0,0.0,0,0
8199,9088,2019.0,6359.04,0,0
8200,12305,2021.0,0.0,0,0
8201,9087,2019.0,6359.04,0,0
8202,9089,2019.0,6359.04,0,0
8203,9467,2020.0,2867.2,0,0
8204,9615,2020.0,2867.2,0,0
8205,9845,2020.0,1648.64,0,0
8206,6074,2017.0,881.0,0,0
